Id,avg_very_active_mins,avg_fairly_active_mins,avg_lightly_active_mins,avg_sedentary_mins,avg_total_steps,activity_level,avg_calories_burned
2347167796,14.294117647058826,21.764705882352938,267.11764705882359,727.47058823529414,10077.176470588238,Fairly Active,2139.9411764705883
8877689391,66.06451612903227,9.9354838709677438,234.70967741935488,1112.8709677419356,16040.032258064517,Highly Active,3420.2580645161288
8053475328,91.0344827586207,10.241379310344826,156.34482758620689,1132.8965517241381,15673.206896551725,Highly Active,3015.3793103448274
3977333714,19.413793103448274,63.379310344827594,180.48275862068962,731.48275862068954,11337.620689655172,Fairly Active,1564.0689655172412
8378563200,58.677419354838726,10.258064516129034,156.09677419354838,716.12903225806451,8717.70967741935,Moderately Active,3436.5806451612907
7007744171,33.625,17.624999999999996,304.125,1078.6666666666667,12267.041666666666,Fairly Active,2686.125
2873212765,14.096774193548388,6.1290322580645187,308.0,1097.1935483870966,7555.7741935483864,Moderately Active,1916.9677419354839
5577150313,93.571428571428569,31.964285714285708,158.49999999999997,705.46428571428589,8897.6071428571413,Moderately Active,3469.6785714285711
7086361926,45.517241379310356,27.103448275862071,153.65517241379311,809.896551724138,10017.034482758621,Fairly Active,2630.7931034482758
1503960366,40.0,19.799999999999994,227.26666666666662,828.43333333333328,12520.633333333331,Highly Active,1876.9666666666665
6962181067,23.566666666666666,19.133333333333333,251.13333333333333,655.66666666666663,10069.600000000002,Fairly Active,1999.2333333333336
2320127002,1.6153846153846154,3.0769230769230775,224.96153846153848,1189.1538461538464,5387.6538461538466,Lightly Active,1779.0769230769231
2022484408,36.290322580645167,19.35483870967742,257.45161290322591,1112.58064516129,11370.645161290322,Fairly Active,2509.9677419354834
2026352035,0.10344827586206896,0.27586206896551735,271.68965517241378,666.103448275862,5913.1379310344828,Lightly Active,1565.6896551724135
8253242879,21.666666666666664,15.111111111111111,123.38888888888889,1278.8888888888891,6842.2777777777783,Lightly Active,1887.3333333333333
6775888955,23.5,30.583333333333339,75.083333333333343,1252.4166666666665,5076.166666666667,Lightly Active,2495.0000000000005
1644430081,10.249999999999998,22.892857142857142,188.10714285714286,1169.3214285714284,7712.0357142857156,Moderately Active,2890.1071428571427
3372868164,9.1500000000000021,4.1000000000000005,327.9,1077.55,6861.6500000000005,Lightly Active,1933.1
4558609924,10.38709677419355,13.709677419354842,284.9677419354839,1093.6129032258061,7685.1290322580653,Moderately Active,2033.258064516129
5553957443,26.888888888888889,14.925925925925926,224.51851851851856,658.74074074074076,9683.62962962963,Moderately Active,1936.4814814814818
4388161847,23.161290322580648,20.354838709677416,229.35483870967741,836.67741935483889,10813.93548387097,Fairly Active,3093.8709677419356
4319703577,3.9642857142857135,13.642857142857142,250.71428571428572,736.10714285714312,8001.3214285714266,Moderately Active,2137.6428571428582
4057192912,1.0,2.0,137.33333333333334,1143.0,5117.333333333333,Lightly Active,2039.6666666666667
6117666160,1.9130434782608696,2.4782608695652173,351.04347826086956,656.34782608695639,8578.608695652174,Moderately Active,2427.4347826086955
4702921684,5.4827586206896557,27.827586206896548,251.37931034482762,723.37931034482756,9105.8620689655145,Moderately Active,3023.2413793103451
6290855005,1.9583333333333326,4.5833333333333348,274.83333333333331,1142.958333333333,6826.541666666667,Lightly Active,2772.7083333333326
1624580081,9.6071428571428559,6.4285714285714288,159.60714285714283,1248.5357142857144,6181.8571428571422,Lightly Active,1498.964285714286
8583815059,10.0,22.93333333333333,142.89999999999998,1261.4666666666669,7438.4666666666662,Lightly Active,2823.1
4445114986,6.833333333333333,1.8000000000000005,214.13333333333335,844.9,4930.833333333333,Sedentary,2218.6666666666665
1844505072,0.23529411764705885,2.3529411764705883,209.70588235294119,1058.1176470588234,4689.9411764705883,Sedentary,1798.5294117647059
8792009665,2.5,10.9,208.39999999999998,780.8,4390.2,Sedentary,2454.9
1927972279,4.4285714285714288,3.4285714285714284,110.28571428571429,1287.4285714285713,2792.0,Sedentary,2448.9999999999995
4020332650,5.9999999999999991,11.600000000000001,218.4,929.0,6516.9,Lightly Active,3091.3999999999996